id,horns,horns_branches,horns_semicircle_shape,horns_thickening,horns_axis,ears
1-1-1,1,0,1,0,1,0
1-2-1,1,0,1,1,1,0
1-3-1,1,1,1,1,1,0
1-3-2,1,1,1,1,1,0
1-6-2,1,1,1,1,0,2
1-6-3,1,1,1,1,1,0
1-7-1,1,1,0,1,0,0
1-7-2,1,1,1,0,1,0
1-7-3,1,1,1,1,1,0
1-8-1,0,0,0,0,0,0
1-9-1,1,0,1,1,1,0
1-9-2,1,1,1,1,0,0
1-10-1,1,0,0,0,1,0
1-10-2,2,???,???,???,???,???
1-12-1,1,1,1,1,1,0
1-12-2,1,1,1,1,1,0
1-14-1,1,1,0,1,1,0
1-19-1,1,0,1,1,0,0
1-22-1,1,0,0,0,1,0
1-25-1,1,1,1,1,1,0
1-26-1,1,0,1,0,1,0
1-27-1,1,1,1,1,0,0
1-28-1,1,1,1,0,1,0
1-28-2,1,1,1,1,1,0
1-28-3,1,0,2,0,1,0
1-28-4,1,1,1,1,1,0
1-28-5,1,1,1,1,1,0
1-28-6,1,1,0,1,1,0
1-29-1,1,1,1,1,1,0
1-29-2,1,1,1,1,1,0
1-29-3,1,1,1,0,1,0
1-29-4,1,1,1,1,1,0
1-29-5,1,1,1,1,1,0
2-1-1,0,,,,,0
2-1-2,1,0,1,0,1,0
2-1-3,1,1,0,1,1,0
2-1-4,1,0,1,0,1,0
2-2-1,1,1,1,1,1,0
2-3-1,1,1,1,0,1,0
2-4-1,1,0,1,0,1,0
2-4-2,1,1,1,0,1,0
2-4-3,1,0,1,0,1,0
2-4-4,1,1,1,0,1,0
2-4-5,1,1,1,0,1,0
2-4-6,1,2,1,1,1,0
2-5-1,1,1,0,0,1,0
2-6-1,1,1,0,1,1,0
2-7-2,1,0,1,0,1,0
2-7-3,1,1,1,0,0,1
2-8-1,1,1,0,1,1,1
2-8-2,1,1,1,1,1,0
2-8-3,1,0,2,0,0,0
2-8-4,1,1,1,1,1,0
2-9-1,1,0,1,0,1,0
2-9-2,1,0,0,0,1,0
2-9-3,1,0,1,1,1,0
2-9-4,1,1,1,1,1,0
2-9-5,1,0,1,1,1,0
2-9-6,1,0,1,0,1,0
2-10-1,1,1,1,0,0,0
2-10-2,1,1,0,0,1,0
2-10-3,1,1,1,1,1,0
2-11-1-1,1,0,0,0,1,0
2-11-1-2,0,,,,,0
2-11-1-4,1,0,0,0,0,0
